id,type,user_authority_id,label_id,except_sub_label_flg,from_mail_name,from_mail,reply_to,content_type,subject,header,contents,footer,admin_operation_mail_flg,header_admin,contents_admin,footer_admin
1,1,,,0,ReservationEngine,info@revn.jp,,1,会員登録が完了しました。,"%USER_VALUE_22%様

ご登録ありがとうございます。
下記内容にて会員登録を承りました。","会員ID：%USER_ID%
ログインID：%USER_LOGIN_ID%
パスワード：%USER_PASSWORD%
電話番号：%USER_VALUE_23%
住所：%USER_VALUE_24%
メールアドレス：%USER_MAIL%","==============================
　株式会社○○○○
　　[本社]　〒000-0000
　○○市○○区○○町0-0-0　○○ビル1F
　TEL: 00-0000-0000　FAX: 00-0000-0000
　[支社]　〒000-0000
　○○市○○区○○町0-0-0　○○ビル1F
　TEL: 00-0000-0000　FAX: 00-0000-0000
==============================",0,,,
2,2,,,0,ReservationEngine,info@revn.jp,,1,会員情報の変更が完了しました。,"%USER_VALUE_22%様

ご登録ありがとうございます。
下記内容にて会員情報の変更を承りました。","会員ID：%USER_ID%

【変更前】
氏名：%OLD_USER_VALUE_22%
ログインID：%OLD_USER_LOGIN_ID%
パスワード：******
電話番号：%OLD_USER_VALUE_23%
住所：%OLD_USER_VALUE_24%
メールアドレス：%OLD_USER_MAIL%

【変更後】
氏名：%USER_VALUE_22%
ログインID：%USER_LOGIN_ID%
パスワード：%USER_PASSWORD%
電話番号：%USER_VALUE_23%
住所：%USER_VALUE_24%
メールアドレス：%USER_MAIL%","==============================
　株式会社○○○○
　　[本社]　〒000-0000
　○○市○○区○○町0-0-0　○○ビル1F
　TEL: 00-0000-0000　FAX: 00-0000-0000
　[支社]　〒000-0000
　○○市○○区○○町0-0-0　○○ビル1F
　TEL: 00-0000-0000　FAX: 00-0000-0000
==============================",0,,,
3,3,,,0,ReservationEngine,info@revn.jp,,1,退会申請を承りました。,"%USER_VALUE_22%様

下記内容にて退会を承りました。","会員ID：%USER_ID%
ログインID：%USER_LOGIN_ID%
電話番号：%USER_VALUE_23%
住所：%USER_VALUE_24%
メールアドレス：%USER_MAIL%","==============================
　株式会社○○○○
　　[本社]　〒000-0000
　○○市○○区○○町0-0-0　○○ビル1F
　TEL: 00-0000-0000　FAX: 00-0000-0000
　[支社]　〒000-0000
　○○市○○区○○町0-0-0　○○ビル1F
　TEL: 00-0000-0000　FAX: 00-0000-0000
==============================",0,,,
4,4,,,0,ReservationEngine,info@revn.jp,,1,ログインIDのお知らせ,"%USER_VALUE_22%様

下記内容で登録されてます。
覚えがない等、不明な点がございましたらご連絡ください。","
ログインID：%USER_LOGIN_ID%","==============================
　株式会社○○○○
　　[本社]　〒000-0000
　○○市○○区○○町0-0-0　○○ビル1F
　TEL: 00-0000-0000　FAX: 00-0000-0000
　[支社]　〒000-0000
　○○市○○区○○町0-0-0　○○ビル1F
　TEL: 00-0000-0000　FAX: 00-0000-0000
==============================",0,,,
5,5,,,0,ReservationEngine,info@revn.jp,,1,パスワードを再設定ください。,"%USER_VALUE_22%様

下記URLよりパスワードの変更が行えます。
覚えがない等、不明な点がございましたらご連絡ください。","パスワード変更用URL：%CHANGE_URL%
※有効期限%LIMIT%時間以内に変更処理をお願致します。","==============================
　株式会社○○○○
　　[本社]　〒000-0000
　○○市○○区○○町0-0-0　○○ビル1F
　TEL: 00-0000-0000　FAX: 00-0000-0000
　[支社]　〒000-0000
　○○市○○区○○町0-0-0　○○ビル1F
　TEL: 00-0000-0000　FAX: 00-0000-0000
==============================",0,,,
6,6,,,0,ReservationEngine,info@revn.jp,,1,予約を受け付けました。,"%USER_VALUE_22%様

ご登録ありがとうございます。
下記内容にて予約登録を承りました。","ステータス：%RESERVE_STATUS%
予約ID：%RESERVE_ID%

予約枠名：%EVENT_NAME%
予約日時：%RESERVE_START_DATE%%RESERVE_START_TIME%～%RESERVE_END_DATE%%RESERVE_END_TIME%
複数プラン：%RESERVE_PLAN%
予約時間：%RESERVE_USETIME%
予約数：%RESERVE_NUMBER%
予約料金：%RESERVE_CHARGE%

ゲスト予約で変更やキャンセルする場合、下記のURLから申請ください。
%GUEST_LOGIN_URL%
※予約ID「%RESERVE_ID%」とメールアドレスが必要になります。","==============================
　株式会社○○○○
　　[本社]　〒000-0000
　○○市○○区○○町0-0-0　○○ビル1F
　TEL: 00-0000-0000　FAX: 00-0000-0000
　[支社]　〒000-0000
　○○市○○区○○町0-0-0　○○ビル1F
　TEL: 00-0000-0000　FAX: 00-0000-0000
==============================",0,,,
7,7,,,0,ReservationEngine,info@revn.jp,,1,予約の変更を受け付けました。,"%USER_VALUE_22%様

ご登録ありがとうございます。
下記内容にて予約の変更を承りました。","予約ID：%RESERVE_ID%

【変更前】
予約枠名：%OLD_EVENT_NAME%
予約日時：%OLD_RESERVE_START_DATE%%OLD_RESERVE_START_TIME%～%OLD_RESERVE_END_DATE%%OLD_RESERVE_END_TIME%
複数プラン：%OLD_RESERVE_PLAN%
予約時間：%OLD_RESERVE_USETIME%
予約数：%OLD_RESERVE_NUMBER%
予約料金：%OLD_RESERVE_CHARGE%
ステータス：%OLD_RESERVE_STATUS%

【変更後】
予約枠名：%EVENT_NAME%
予約日時：%RESERVE_START_DATE%%RESERVE_START_TIME%～%RESERVE_END_DATE%%RESERVE_END_TIME%
複数プラン：%RESERVE_PLAN%
予約時間：%RESERVE_USETIME%
予約数：%RESERVE_NUMBER%
予約料金：%RESERVE_CHARGE%
ステータス：%RESERVE_STATUS%


ゲスト予約で変更やキャンセルする場合、下記のURLから申請ください。
%GUEST_LOGIN_URL%
※予約ID「%RESERVE_ID%」とメールアドレスが必要になります。","==============================
　株式会社○○○○
　　[本社]　〒000-0000
　○○市○○区○○町0-0-0　○○ビル1F
　TEL: 00-0000-0000　FAX: 00-0000-0000
　[支社]　〒000-0000
　○○市○○区○○町0-0-0　○○ビル1F
　TEL: 00-0000-0000　FAX: 00-0000-0000
==============================",0,,,
8,8,,,0,ReservationEngine,info@revn.jp,,1,予約のキャンセルを受け付けました。,"%USER_VALUE_22%様

ご登録ありがとうございます。
下記内容にて予約のキャンセルを承りました。","ステータス：%RESERVE_STATUS%
予約ID：%RESERVE_ID%

予約枠名：%EVENT_NAME%
予約日時：%RESERVE_START_DATE%%RESERVE_START_TIME%～%RESERVE_END_DATE%%RESERVE_END_TIME%
複数プラン：%RESERVE_PLAN%
予約時間：%RESERVE_USETIME%
予約数：%RESERVE_NUMBER%
予約料金：%RESERVE_CHARGE%","==============================
　株式会社○○○○
　　[本社]　〒000-0000
　○○市○○区○○町0-0-0　○○ビル1F
　TEL: 00-0000-0000　FAX: 00-0000-0000
　[支社]　〒000-0000
　○○市○○区○○町0-0-0　○○ビル1F
　TEL: 00-0000-0000　FAX: 00-0000-0000
==============================",0,,,
9,9,,,0,ReservationEngine,info@revn.jp,,1,キャンセル待ちのお知らせ,"キャンセル待ちを登録いただいていた予約枠に空きがでたので通知いたします。
覚えがない等、不明な点がございましたらご連絡ください。","
予約枠名：%EVENT_NAME%
日時：%RESERVE_START_DATE%%RESERVE_START_TIME%～","==============================
　株式会社○○○○
　　[本社]　〒000-0000
　○○市○○区○○町0-0-0　○○ビル1F
　TEL: 00-0000-0000　FAX: 00-0000-0000
　[支社]　〒000-0000
　○○市○○区○○町0-0-0　○○ビル1F
　TEL: 00-0000-0000　FAX: 00-0000-0000
==============================",0,,,
10,10,,,0,ReservationEngine,info@revn.jp,,1,予約のリマインドメール,"%USER_VALUE_22%様

下記内容にて予約登録を承っております。
ご来店をお待ちしております。","ステータス：%RESERVE_STATUS%
予約ID：%RESERVE_ID%

予約枠名：%EVENT_NAME%
予約日時：%RESERVE_START_DATE%%RESERVE_START_TIME%～%RESERVE_END_DATE%%RESERVE_END_TIME%
複数プラン：%RESERVE_PLAN%
予約時間：%RESERVE_USETIME%
予約数：%RESERVE_NUMBER%
予約料金：%RESERVE_CHARGE%

ゲスト予約で変更やキャンセルする場合、下記のURLから申請ください。
%GUEST_LOGIN_URL%
※予約ID「%RESERVE_ID%」とメールアドレスが必要になります。","==============================
　株式会社○○○○
　　[本社]　〒000-0000
　○○市○○区○○町0-0-0　○○ビル1F
　TEL: 00-0000-0000　FAX: 00-0000-0000
　[支社]　〒000-0000
　○○市○○区○○町0-0-0　○○ビル1F
　TEL: 00-0000-0000　FAX: 00-0000-0000
==============================",0,,,
